"","Month","Day","Lake","Site","Length","Infection"
"1","May",1,"Batorino","S3",14.9,36
"2","May",1,"Batorino","S3",14,30
"3","May",1,"Batorino","S3",13,331
"4","May",1,"Batorino","S3",14,110
"5","May",1,"Batorino","S3",12,4
"6","May",1,"Batorino","S3",14,171
"7","May",1,"Batorino","S3",12,31
"8","May",1,"Batorino","S3",19,887
"9","May",1,"Batorino","S3",16.5,525
"10","May",1,"Batorino","S3",18,497
"11","May",1,"Batorino","S3",19,56
"12","May",1,"Batorino","S3",19,1599
"13","May",1,"Batorino","S3",19,692
"14","May",1,"Batorino","S3",23,86
"15","May",1,"Batorino","S3",22,1768
"16","May",1,"Batorino","S3",22,183
"17","May",1,"Batorino","S3",22,1209
"18","May",1,"Batorino","S2",11.5,53
"19","May",1,"Batorino","S2",13,21
"20","May",1,"Batorino","S2",11.5,70
"21","May",1,"Batorino","S2",11.5,79
"22","May",1,"Batorino","S2",18,55
"23","May",1,"Batorino","S2",18,353
"24","May",1,"Batorino","S2",19,261
"25","May",1,"Batorino","S2",16,131
"26","May",1,"Batorino","S2",19,69
"27","May",1,"Batorino","S2",17.5,280
"28","May",1,"Batorino","S2",18.5,17
"29","May",1,"Batorino","S2",21,32
"30","May",1,"Batorino","S2",21,118
"31","May",1,"Batorino","S2",21,389
"32","May",1,"Batorino","S1",13,182
"33","May",1,"Batorino","S1",14,36
"34","May",1,"Batorino","S1",12,320
"35","May",1,"Batorino","S1",14,235
"36","May",1,"Batorino","S1",14,109
"37","May",1,"Batorino","S1",13,121
"38","May",1,"Batorino","S1",14,119
"39","May",1,"Batorino","S1",17,217
"40","May",1,"Batorino","S1",15.5,135
"41","May",1,"Batorino","S1",15,215
"42","May",1,"Batorino","S1",18.5,241
"43","May",1,"Batorino","S1",17,447
"44","May",1,"Batorino","S1",16,766
"45","May",1,"Batorino","S1",16,950
"46","July",62,"Batorino","S3",15.5,1400
"47","July",62,"Batorino","S3",17,1086
"48","July",62,"Batorino","S3",16,925
"49","July",62,"Batorino","S3",17,2400
"50","July",62,"Batorino","S3",16,132
"51","July",62,"Batorino","S3",15,703
"52","July",62,"Batorino","S3",15,668
"53","July",62,"Batorino","S3",23,1716
"54","July",62,"Batorino","S3",22,1649
"55","July",62,"Batorino","S3",22.5,684
"56","July",62,"Batorino","S3",23,1418
"57","July",62,"Batorino","S3",22.5,1007
"58","July",62,"Batorino","S3",25,827
"59","July",62,"Batorino","S3",25,2551
"60","July",62,"Batorino","S2",18,809
"61","July",62,"Batorino","S2",16,891
"62","July",62,"Batorino","S2",15.5,473
"63","July",62,"Batorino","S2",17,1292
"64","July",62,"Batorino","S2",17.5,119
"65","July",62,"Batorino","S2",21,655
"66","July",62,"Batorino","S2",21,291
"67","July",62,"Batorino","S2",23,576
"68","July",62,"Batorino","S2",22.5,1845
"69","July",62,"Batorino","S2",21,25
"70","July",62,"Batorino","S2",21,1176
"71","July",62,"Batorino","S2",23,977
"72","July",62,"Batorino","S2",26,676
"73","July",62,"Batorino","S2",26.5,1303
"74","July",62,"Batorino","S1",14.5,327
"75","July",62,"Batorino","S1",14,230
"76","July",62,"Batorino","S1",19,659
"77","July",62,"Batorino","S1",19,1018
"78","July",62,"Batorino","S1",19,1235
"79","July",62,"Batorino","S1",17,121
"80","July",62,"Batorino","S1",15.5,789
"81","July",62,"Batorino","S1",16,2093
"82","July",62,"Batorino","S1",17,434
"83","July",62,"Batorino","S1",20,2658
"84","July",62,"Batorino","S1",21,948
"85","July",62,"Batorino","S1",22,2115
"86","September",109,"Batorino","S3",18,1397
"87","September",109,"Batorino","S3",16,1106
"88","September",109,"Batorino","S3",17.5,1103
"89","September",109,"Batorino","S3",17,499
"90","September",109,"Batorino","S3",16,1248
"91","September",109,"Batorino","S3",16,486
"92","September",109,"Batorino","S3",20.5,1666
"93","September",109,"Batorino","S3",21,510
"94","September",109,"Batorino","S3",21,2084
"95","September",109,"Batorino","S3",21.5,2897
"96","September",109,"Batorino","S3",23,782
"97","September",109,"Batorino","S3",22.5,505
"98","September",109,"Batorino","S3",23,972
"99","September",109,"Batorino","S3",26.5,1202
"100","September",109,"Batorino","S3",21,366
"101","September",109,"Batorino","S2",18,1951
"102","September",109,"Batorino","S2",18,1438
"103","September",109,"Batorino","S2",17.5,775
"104","September",109,"Batorino","S2",22,314
"105","September",109,"Batorino","S2",20.5,1479
"106","September",109,"Batorino","S2",21,457
"107","September",109,"Batorino","S2",20,648
"108","September",109,"Batorino","S2",21,356
"109","September",109,"Batorino","S2",20,170
"110","September",109,"Batorino","S2",20.5,1094
"111","September",109,"Batorino","S2",28,1368
"112","September",109,"Batorino","S2",25.5,721
"113","September",109,"Batorino","S2",25.5,711
"114","September",109,"Batorino","S2",25.5,233
"115","September",109,"Batorino","S1",17.5,2234
"116","September",109,"Batorino","S1",16,1613
"117","September",109,"Batorino","S1",12,1178
"118","September",109,"Batorino","S1",16,547
"119","September",109,"Batorino","S1",17,694
"120","September",109,"Batorino","S1",17.5,1090
"121","September",109,"Batorino","S1",17,347
"122","September",109,"Batorino","S1",21,1436
"123","September",109,"Batorino","S1",21,1069
"124","September",109,"Batorino","S1",23,580
"125","September",109,"Batorino","S1",22.5,1553
"126","September",109,"Batorino","S1",22.5,1274
"127","September",109,"Batorino","S1",21,856
"128","May",1,"Myastro","S5",4,0
"129","May",1,"Myastro","S5",4,6
"130","May",1,"Myastro","S5",9.5,40
"131","May",1,"Myastro","S5",7.5,81
"132","May",1,"Myastro","S5",8.5,87
"133","May",1,"Myastro","S5",9.5,54
"134","May",1,"Myastro","S5",7,37
"135","May",1,"Myastro","S5",8.5,41
